Entity,Code,Year,Population (historical)
Afghanistan,AFG,-10000,14737
Afghanistan,AFG,-9000,20405
Afghanistan,AFG,-8000,28253
Afghanistan,AFG,-7000,39120
Afghanistan,AFG,-6000,54166
Afghanistan,AFG,-5000,75000
Afghanistan,AFG,-4000,306250
Afghanistan,AFG,-3000,537500
Afghanistan,AFG,-2000,768750
Afghanistan,AFG,-1000,1000000
Afghanistan,AFG,0,2000000
Afghanistan,AFG,100,2250000
Afghanistan,AFG,200,2500000
Afghanistan,AFG,300,2500000
Afghanistan,AFG,400,2500000
Afghanistan,AFG,500,2500000
Afghanistan,AFG,600,2500000
Afghanistan,AFG,700,2425000
Afghanistan,AFG,800,2350000
Afghanistan,AFG,900,2300000
Afghanistan,AFG,1000,2250000
Afghanistan,AFG,1100,2375000
Afghanistan,AFG,1200,2500000
Afghanistan,AFG,1300,1750000
Afghanistan,AFG,1400,1875000
Afghanistan,AFG,1500,2000000
Afghanistan,AFG,1600,2500000
Afghanistan,AFG,1700,2500000
Afghanistan,AFG,1710,2561625
Afghanistan,AFG,1720,2619844
Afghanistan,AFG,1730,2679386
Afghanistan,AFG,1740,2740281
Afghanistan,AFG,1750,2802560
Afghanistan,AFG,1760,2866255
Afghanistan,AFG,1770,2931397
Afghanistan,AFG,1780,2998019
Afghanistan,AFG,1790,3066156
Afghanistan,AFG,1800,3280000
Afghanistan,AFG,1801,3280000
Afghanistan,AFG,1802,3280000
Afghanistan,AFG,1803,3280000
Afghanistan,AFG,1804,3280000
Afghanistan,AFG,1805,3280000
Afghanistan,AFG,1806,3280000
Afghanistan,AFG,1807,3280000
Afghanistan,AFG,1808,3280000
Afghanistan,AFG,1809,3280000
Afghanistan,AFG,1810,3280000
Afghanistan,AFG,1811,3280000
Afghanistan,AFG,1812,3280000
Afghanistan,AFG,1813,3280000
Afghanistan,AFG,1814,3280000
Afghanistan,AFG,1815,3280000
Afghanistan,AFG,1816,3280000
Afghanistan,AFG,1817,3280000
Afghanistan,AFG,1818,3280000
Afghanistan,AFG,1819,3282935
Afghanistan,AFG,1820,3288817
Afghanistan,AFG,1821,3297661
Afghanistan,AFG,1822,3309479
Afghanistan,AFG,1823,3324285
Afghanistan,AFG,1824,3339157
Afghanistan,AFG,1825,3354095
Afghanistan,AFG,1826,3369101
Afghanistan,AFG,1827,3384173
Afghanistan,AFG,1828,3399313
Afghanistan,AFG,1829,3414520
Afghanistan,AFG,1830,3429796
Afghanistan,AFG,1831,3445140
Afghanistan,AFG,1832,3460553
Afghanistan,AFG,1833,3476034
Afghanistan,AFG,1834,3491585
Afghanistan,AFG,1835,3507205
Afghanistan,AFG,1836,3522896
Afghanistan,AFG,1837,3538656
Afghanistan,AFG,1838,3554487
Afghanistan,AFG,1839,3570389
Afghanistan,AFG,1840,3586362
Afghanistan,AFG,1841,3602406
Afghanistan,AFG,1842,3618522
Afghanistan,AFG,1843,3634711
Afghanistan,AFG,1844,3650971
Afghanistan,AFG,1845,3667305
Afghanistan,AFG,1846,3683711
Afghanistan,AFG,1847,3700191
Afghanistan,AFG,1848,3716745
Afghanistan,AFG,1849,3734342
Afghanistan,AFG,1850,3752993
Afghanistan,AFG,1851,3767956
Afghanistan,AFG,1852,3783940
Afghanistan,AFG,1853,3800954
Afghanistan,AFG,1854,3818038
Afghanistan,AFG,1855,3835192
Afghanistan,AFG,1856,3852417
Afghanistan,AFG,1857,3869714
Afghanistan,AFG,1858,3887081
Afghanistan,AFG,1859,3904521
Afghanistan,AFG,1860,3922032
Afghanistan,AFG,1861,3939616
Afghanistan,AFG,1862,3957271
Afghanistan,AFG,1863,3975000
Afghanistan,AFG,1864,3992801
Afghanistan,AFG,1865,4010675
Afghanistan,AFG,1866,4028623
Afghanistan,AFG,1867,4046645
Afghanistan,AFG,1868,4064740
Afghanistan,AFG,1869,4082915
Afghanistan,AFG,1870,4101170
Afghanistan,AFG,1871,4119504
Afghanistan,AFG,1872,4137920
Afghanistan,AFG,1873,4156416
Afghanistan,AFG,1874,4174988
Afghanistan,AFG,1875,4193635
Afghanistan,AFG,1876,4212359
Afghanistan,AFG,1877,4231159
Afghanistan,AFG,1878,4250036
Afghanistan,AFG,1879,4268990
Afghanistan,AFG,1880,4288021
Afghanistan,AFG,1881,4307129
Afghanistan,AFG,1882,4326316
Afghanistan,AFG,1883,4345580
Afghanistan,AFG,1884,4364922
Afghanistan,AFG,1885,4384343
Afghanistan,AFG,1886,4403843
Afghanistan,AFG,1887,4423422
Afghanistan,AFG,1888,4443080
Afghanistan,AFG,1889,4462817
Afghanistan,AFG,1890,4482635
Afghanistan,AFG,1891,4502532
Afghanistan,AFG,1892,4522510
Afghanistan,AFG,1893,4542568
Afghanistan,AFG,1894,4562708
Afghanistan,AFG,1895,4582928
Afghanistan,AFG,1896,4603230
Afghanistan,AFG,1897,4623613
Afghanistan,AFG,1898,4644079
Afghanistan,AFG,1899,4672084
Afghanistan,AFG,1900,4707744
Afghanistan,AFG,1901,4751177
Afghanistan,AFG,1902,4802500
Afghanistan,AFG,1903,4861833
Afghanistan,AFG,1904,4921891
Afghanistan,AFG,1905,4982681
Afghanistan,AFG,1906,5044212
Afghanistan,AFG,1907,5106495
Afghanistan,AFG,1908,5169536
Afghanistan,AFG,1909,5300178
Afghanistan,AFG,1910,5504191
Afghanistan,AFG,1911,5787792
Afghanistan,AFG,1912,6157669
Afghanistan,AFG,1913,6621025
Afghanistan,AFG,1914,7119235
Afghanistan,AFG,1915,7654918
Afghanistan,AFG,1916,8230894
Afghanistan,AFG,1917,8850190
Afghanistan,AFG,1918,9529174
Afghanistan,AFG,1919,9976355
Afghanistan,AFG,1920,10188845
Afghanistan,AFG,1921,10162753
Afghanistan,AFG,1922,9893152
Afghanistan,AFG,1923,9374030
Afghanistan,AFG,1924,8882148
Afghanistan,AFG,1925,8416077
Afghanistan,AFG,1926,7974462
Afghanistan,AFG,1927,7556019
Afghanistan,AFG,1928,7159534
Afghanistan,AFG,1929,6851115
Afghanistan,AFG,1930,6626142
Afghanistan,AFG,1931,6480237
Afghanistan,AFG,1932,6409250
Afghanistan,AFG,1933,6409250
Afghanistan,AFG,1934,6409250
Afghanistan,AFG,1935,6409250
Afghanistan,AFG,1936,6409250
Afghanistan,AFG,1937,6409250
Afghanistan,AFG,1938,6409250
Afghanistan,AFG,1939,6428903
Afghanistan,AFG,1940,6468510
Afghanistan,AFG,1941,6528377
Afghanistan,AFG,1942,6608815
Afghanistan,AFG,1943,6710138
Afghanistan,AFG,1944,6813016
Afghanistan,AFG,1945,6917471
Afghanistan,AFG,1946,7023527
Afghanistan,AFG,1947,7131209
Afghanistan,AFG,1948,7240542
Afghanistan,AFG,1949,7356890
Afghanistan,AFG,1950,7776182
Afghanistan,AFG,1951,7879343
Afghanistan,AFG,1952,7987783
Afghanistan,AFG,1953,8096703
Afghanistan,AFG,1954,8207953
Afghanistan,AFG,1955,8326981
Afghanistan,AFG,1956,8454302
Afghanistan,AFG,1957,8588340
Afghanistan,AFG,1958,8723412
Afghanistan,AFG,1959,8869271
Afghanistan,AFG,1960,9035048
Afghanistan,AFG,1961,9214082
Afghanistan,AFG,1962,9404411
Afghanistan,AFG,1963,9604491
Afghanistan,AFG,1964,9814318
Afghanistan,AFG,1965,10036003
Afghanistan,AFG,1966,10266397
Afghanistan,AFG,1967,10505961
Afghanistan,AFG,1968,10756924
Afghanistan,AFG,1969,11017417
Afghanistan,AFG,1970,11290135
Afghanistan,AFG,1971,11567672
Afghanistan,AFG,1972,11853697
Afghanistan,AFG,1973,12158000
Afghanistan,AFG,1974,12469127
Afghanistan,AFG,1975,12773967
Afghanistan,AFG,1976,13059861
Afghanistan,AFG,1977,13340758
Afghanistan,AFG,1978,13611445
Afghanistan,AFG,1979,13655572
Afghanistan,AFG,1980,13169312
Afghanistan,AFG,1981,11937587
Afghanistan,AFG,1982,10991382
Afghanistan,AFG,1983,10917986
Afghanistan,AFG,1984,11190220
Afghanistan,AFG,1985,11426855
Afghanistan,AFG,1986,11420074
Afghanistan,AFG,1987,11387824
Afghanistan,AFG,1988,11523299
Afghanistan,AFG,1989,11874088
Afghanistan,AFG,1990,12045664
Afghanistan,AFG,1991,12238879
Afghanistan,AFG,1992,13278982
Afghanistan,AFG,1993,14943174
Afghanistan,AFG,1994,16250799
Afghanistan,AFG,1995,17065836
Afghanistan,AFG,1996,17763265
Afghanistan,AFG,1997,18452100
Afghanistan,AFG,1998,19159996
Afghanistan,AFG,1999,19887791
Afghanistan,AFG,2000,20130334
Afghanistan,AFG,2001,20284303
Afghanistan,AFG,2002,21378123
Afghanistan,AFG,2003,22733054
Afghanistan,AFG,2004,23560656
Afghanistan,AFG,2005,24404574
Afghanistan,AFG,2006,25424100
Afghanistan,AFG,2007,25909852
Afghanistan,AFG,2008,26482629
Afghanistan,AFG,2009,27466101
Afghanistan,AFG,2010,28284088
Afghanistan,AFG,2011,29347709
Afghanistan,AFG,2012,30560036
Afghanistan,AFG,2013,31622708
Afghanistan,AFG,2014,32792527
Afghanistan,AFG,2015,33831765
Afghanistan,AFG,2016,34700614
Afghanistan,AFG,2017,35688942
Afghanistan,AFG,2018,36743040
Afghanistan,AFG,2019,37856126
Afghanistan,AFG,2020,39068978
Afghanistan,AFG,2021,40000411
Afghanistan,AFG,2022,40578846
Afghanistan,AFG,2023,41454762
Akrotiri and Dhekelia,OWID_AKD,1800,3710
Akrotiri and Dhekelia,OWID_AKD,2005,15700
Akrotiri and Dhekelia,OWID_AKD,2008,15700
Albania,ALB,-10000,1199
Albania,ALB,-9000,1999
Albania,ALB,-8000,3332
Albania,ALB,-7000,5554
Albania,ALB,-6000,9256
Albania,ALB,-5000,15428
Albania,ALB,-4000,25713
Albania,ALB,-3000,42855
Albania,ALB,-2000,71426
Albania,ALB,-1000,119043
Albania,ALB,0,198405
Albania,ALB,100,198604
Albania,ALB,200,198803
Albania,ALB,300,199002
Albania,ALB,400,199201
Albania,ALB,500,199400
Albania,ALB,600,199600
Albania,ALB,700,199800
Albania,ALB,800,200000
Albania,ALB,900,200000
Albania,ALB,1000,200000
Albania,ALB,1100,200000
Albania,ALB,1200,200000
Albania,ALB,1300,200000
Albania,ALB,1400,200000
Albania,ALB,1500,200000
Albania,ALB,1600,200000
Albania,ALB,1700,300000
Albania,ALB,1710,311416
Albania,ALB,1720,322833
Albania,ALB,1730,334250
Albania,ALB,1740,345666
Albania,ALB,1750,357083
Albania,ALB,1760,368500
Albania,ALB,1770,379916
Albania,ALB,1780,391333
Albania,ALB,1790,402750
Albania,ALB,1800,400000
Albania,ALB,1801,401773
Albania,ALB,1802,403554
Albania,ALB,1803,405343
Albania,ALB,1804,407140
Albania,ALB,1805,408945
Albania,ALB,1806,410758
Albania,ALB,1807,412579
Albania,ALB,1808,414408
Albania,ALB,1809,416246
Albania,ALB,1810,418099
Albania,ALB,1811,419953
Albania,ALB,1812,421814
Albania,ALB,1813,423684
Albania,ALB,1814,425563
Albania,ALB,1815,427449
Albania,ALB,1816,429344
Albania,ALB,1817,431248
Albania,ALB,1818,433159
Albania,ALB,1819,435086
Albania,ALB,1820,437026
Albania,ALB,1821,438981
Albania,ALB,1822,440950
Albania,ALB,1823,442934
Albania,ALB,1824,444927
Albania,ALB,1825,446929
Albania,ALB,1826,448940
Albania,ALB,1827,450959
